"","SORTER","Submitted_Name","Submitted_Author","Submitted_Genus","Submitted_Rank","Name_in_database","Author_in_database","Genus_in_database","Rank_in_database","ID_in_database","Name_set","Fuzzy","Score","name.dist","author.dist","New_name","New_author","New_ID","Family","Name_spLev","Accepted_SPNAME","NOTE"
"715",461,"Lonicera japonica","","Lonicera",2,"Lonicera japonica","Thunb.","Lonicera",2,406027,1,FALSE,0.8,0,NA,NA,NA,NA,"Caprifoliaceae",NA,"Lonicera japonica",NA
"717",462,"Lonicera periclymenum","","Lonicera",2,"Lonicera periclymenum"," L.","Lonicera",2,406086,1,FALSE,0.8,0,NA,NA,NA,NA,"Caprifoliaceae",NA,"Lonicera periclymenum",NA
"719",463,"Lonicera subspicata","","Lonicera",2,"Lonicera subspicata","Hook. &  Arn.","Lonicera",2,406132,1,FALSE,0.8,0,NA,NA,NA,NA,"Caprifoliaceae",NA,"Lonicera subspicata",NA
"1102",464,"Scabiosa atropurpurea","","Scabiosa",2,"Scabiosa atropurpurea","L.","Scabiosa",2,1188549,1,FALSE,0.8,0,NA,"Sixalix atropurpurea ssp. atropurpurea",NA,406603,"Caprifoliaceae",NA,"Sixalix atropurpurea",NA
"1104",465,"Scabiosa columbaria","","Scabiosa",2,"Scabiosa columbaria"," L.","Scabiosa",2,406629,1,FALSE,0.8,0,NA,NA,NA,NA,"Caprifoliaceae",NA,"Scabiosa columbaria",NA
"1087",466,"Sambucus nigra","","Sambucus",2,"Sambucus nigra","L.","Sambucus",2,405847,1,FALSE,0.8,0,NA,NA,NA,NA,"Adoxaceae",NA,"Sambucus nigra",NA
"1223",467,"Succisa pratensis","","Succisa",2,"Succisa pratensis","Moench","Succisa",2,406246,1,FALSE,0.8,0,NA,NA,NA,NA,"Caprifoliaceae",NA,"Succisa pratensis",NA
"1224",468,"Symphoricarpos mollis","","Symphoricarpos",2,"Symphoricarpos mollis","Nutt. ex Torr. &  Gray","Symphoricarpos",2,406182,1,FALSE,0.8,0,NA,NA,NA,NA,"Caprifoliaceae",NA,"Symphoricarpos mollis",NA
"1296",469,"Valeriana officinalis","","Valeriana",2,"Valeriana officinalis","L.","Valeriana",2,407063,1,FALSE,0.8,0,NA,NA,NA,NA,"Caprifoliaceae",NA,"Valeriana officinalis",NA
"1310",470,"Viburnum tinus","","Viburnum",2,"Viburnum tinus","L.","Viburnum",2,405809,1,FALSE,0.8,0,NA,NA,NA,NA,"Adoxaceae",NA,"Viburnum tinus",NA
"1309",471,"Viburnum opulus","","Viburnum",2,"Viburnum opulus","L.","Viburnum",2,405743,1,FALSE,0.8,0,NA,NA,NA,NA,"Adoxaceae",NA,"Viburnum opulus",NA
"1086",472,"Sambucus caerulea","","Sambucus",2,"Sambucus caerulea","Raf.","Sambucus",2,405837,1,FALSE,0.8,0,NA,NA,NA,NA,"Adoxaceae",NA,"Sambucus caerulea",NA
