Mayor group,Order,Family,Tribus,Species,Flower color composition,Main flower color,Flavonoids,Anthocyanins,Aurones,Carotenoids,Chlorophylls, N_pigments
Eudicotyledoneae,Fabales,Fabaceae,Hedysareae,Hedysarum_coronarium,Red,Red,1,1  ,0,0,0,2
Eudicotyledoneae,Fabales,Fabaceae,Hedysareae,Onobrychis_humilis,Red/White,Red,1,1  ,0,0,1,3
Eudicotyledoneae,Fabales,Fabaceae,Loteae,Anthyllis_hamosa,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Fabales,Fabaceae,Loteae,Anthyllis_vulneraria,Pink/Red,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Fabales,Fabaceae,Loteae,Coronilla_valentina,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Fabales,Fabaceae,Loteae,Dorycnium_hirsutum,White/Pink/Green,White,1,1  ,0,0,1,3
Eudicotyledoneae,Fabales,Fabaceae,Loteae,Lotus_corniculatus,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Fabales,Fabaceae,Loteae,Lotus_creticus,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Fabales,Fabaceae,Loteae,Lotus_pedunculatus,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Fabales,Fabaceae,Loteae,Lotus_tetragonolobus,Red/Purple,Red,1,1  ,0,1,0,3
Eudicotyledoneae,Fabales,Fabaceae,Loteae,Scorpiurus_muricatus,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Fabales,Fabaceae,Loteae,Scorpiurus_vermiculatus,Yellow/Green,Yellow,1,0  ,0,1,1,3
Eudicotyledoneae,Fabales,Fabaceae,Psoraleeae,Bituminaria_bituminosa,Blue,Blue,1,1  ,0,0,0,2
Eudicotyledoneae,Fabales,Fabaceae,Sophoreae,Erophaca_baetica,White,White,1,0  ,0,0,0,1
Eudicotyledoneae,Fabales,Fabaceae,Trifolieae,Melilotus_indicus,Yellow/Green,Yellow,1,0  ,0,1,1,3
Eudicotyledoneae,Fabales,Fabaceae,Trifolieae,Medicago_marina,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Fabales,Fabaceae,Trifolieae,Medicago_sativa,Blue,Blue,1,1  ,0,0,0,2
Eudicotyledoneae,Fabales,Fabaceae,Trifolieae,Ononis_mitissima,Pink,Pink,1,1  ,0,0,0,2
